name,city,state,country,postal_code,latitude,longitude,line1,iata_code
Wittman Regional Airport,Oshkosh,WI,US,54902,43.9844017,-88.55699921,Wittman Regional Airport,OSH
Pangborn Memorial Airport,Wenatchee,WA,US,98802,47.39889908,-120.2070007,Pangborn Memorial Airport,EAT
NAS Fort Worth JRB/Carswell Field,Dallas,TX,US,76108,32.76919937,-97.4414978,NAS Fort Worth JRB/Carswell Field,\N
Gary Chicago International Airport,Gary,IN,US,46406,41.61629868,-87.41280365,Gary Chicago International Airport,GYY
Brainerd Lakes Regional Airport,Brainerd,MN,US,56401,46.39830017,-94.13809967,Brainerd Lakes Regional Airport,BRD
Greenbrier Valley Airport,Lewisburg,WV,US,24938,37.85829926,-80.39949799,Greenbrier Valley Airport,LWB
Pitt Greenville Airport,Greenville,NC,US,27834,35.6352005,-77.38529968,Pitt Greenville Airport,PGV
Chefornak Airport,Chefornak,AK,US,,60.14920044,-164.2859955,Chefornak Airport,CYF
Oxnard Airport,Oxnard,CA,US,93030,34.20080185,-119.2070007,Oxnard Airport,OXR
Schenectady County Airport,Scotia NY,NY,US,12302,42.85250092,-73.92890167,Schenectady County Airport,SCH
Northeast Florida Regional Airport,St. Augustine Airport,FL,US,32095,29.95919991,-81.33979797,Northeast Florida Regional Airport,UST
Charles M. Schulz Sonoma County Airport,Santa Rosa,CA,US,95492,38.50899887,-122.8130035,Charles M. Schulz Sonoma County Airport,STS
Kissimmee Gateway Airport,Kissimmee,FL,US,34741,28.28980064,-81.43710327,Kissimmee Gateway Airport,ISM
Lake City Gateway Airport,Lake City,FL,US,32025,30.18199921,-82.57689667,Lake City Gateway Airport,LCQ
Deland Municipal Sidney H Taylor Field,DeLand,FL,US,32724,29.06699944,-81.28379822,Deland Municipal Sidney H Taylor Field,\N
Haller Airpark,Green Cove Springs,FL,US,32043,29.904057,-81.68515,Haller Airpark,\N
Logan-Cache Airport,Logan,UT,US,84341,41.79119873,-111.8519974,Logan-Cache Airport,LGU
Brigham City Airport,Brigham City,UT,US,84302,41.55239868,-112.0619965,Brigham City Airport,BMC
Malad City Airport,Malad City,ID,US,83252,42.16659927,-112.2969971,Malad City Airport,MLD
Aspen-Pitkin Co/Sardy Field,Aspen,CO,US,81611,39.22320175,-106.8690033,Aspen-Pitkin Co/Sardy Field,ASE
Kerrville Municipal Louis Schreiner Field,Kerrville,TX,US,78028,29.97669983,-99.08570099,Kerrville Municipal Louis Schreiner Field,ERV
Sussex County Airport,Georgetown,DE,US,19947,38.68920135,-75.35890198,Sussex County Airport,GED
Great Bend Municipal Airport,Great Bend,KS,US,67530,38.34429932,-98.85919952,Great Bend Municipal Airport,GBN
Hays Regional Airport,Hays,KS,US,67601,38.84220123,-99.27320099,Hays Regional Airport,HYS
Spirit of St Louis Airport,Null,MO,US,63005,38.66210175,-90.65200043,Spirit of St Louis Airport,SUS
Ely Municipal Airport,Ely,MN,US,55731,47.82450104,-91.83070374,Ely Municipal Airport,LYU
Grand Rapids Itasca Co-Gordon Newstrom field,Grand Rapids MN,MN,US,55744,47.21110153,-93.50980377,Grand Rapids Itasca Co-Gordon Newstrom field,GPZ
Thief River Falls Regional Airport,Thief River Falls,MN,US,56701,48.06570053,-96.18499756,Thief River Falls Regional Airport,TVF
Eagle River Union Airport,Eagle River,WI,US,54521,45.93230057,-89.26830292,Eagle River Union Airport,EGV
Lakeland-Noble F. Lee Memorial field,Minocqua - Woodruff,WI,US,54568,45.92789841,-89.73090363,Lakeland-Noble F. Lee Memorial field,ARV
Ankeny Regional Airport,Ankeny,IA,US,50021,41.69139862,-93.56639862,Ankeny Regional Airport,IKV
Corpus Christi Naval Air Station/Truax Field,Corpus Christi,TX,US,78418,27.69260025,-97.29109955,Corpus Christi Naval Air Station/Truax Field,NGP
Catalina Airport,Catalina Island,CA,US,90704,33.4049,-118.416,Catalina Airport,AVX
Mojave Airport,Mojave,CA,US,93501,35.05939865,-118.1520004,Mojave Airport,MHV
Hutchinson Municipal Airport,Hutchinson,KS,US,67501,38.06549835,-97.86060333,Hutchinson Municipal Airport,HUT
Rosecrans Memorial Airport,Rosecrans,MO,US,64503,39.77190018,-94.90969849,Rosecrans Memorial Airport,STJ
Volk Field,Camp Douglas,WI,US,54618,43.93899918,-90.25340271,Volk Field,VOK
Gunnison Crested Butte Regional Airport,Gunnison,CO,US,81230,38.53390121,-106.9329987,Gunnison Crested Butte Regional Airport,GUC
Zamperini Field,Torrance,CA,US,90505,33.80339813,-118.3399963,Zamperini Field,TOA
Manistee Co Blacker Airport,Manistee,MI,US,49660,44.2723999,-86.24690247,Manistee Co Blacker Airport,MBL
Charlotte County Airport,Punta Gorda,FL,US,33982,26.92020035,-81.9905014,Charlotte County Airport,PGD
Northern Aroostook Regional Airport,Frenchville,ME,US,04745,47.28549957,-68.31279755,Northern Aroostook Regional Airport,WFK
Chautauqua County-Jamestown Airport,Jamestown,NY,US,14701,42.15340042,-79.25800323,Chautauqua County-Jamestown Airport,JHW
Lake Cumberland Regional Airport,Somerset,KY,US,42501,37.05339813,-84.61589813,Lake Cumberland Regional Airport,SME
Shenandoah Valley Regional Airport,Weyers Cave,VA,US,24486,38.26380157,-78.89640045,Shenandoah Valley Regional Airport,SHD
Devils Lake Regional Airport,Devils Lake,ND,US,58301,48.11420059,-98.90879822,Devils Lake Regional Airport,DVL
Dickinson Theodore Roosevelt Regional Airport,Dickinson,ND,US,58601,46.79740143,-102.802002,Dickinson Theodore Roosevelt Regional Airport,DIK
Sidney Richland Municipal Airport,Sidney,MT,US,59270,47.70690155,-104.1930008,Sidney Richland Municipal Airport,SDY
Chadron Municipal Airport,Chadron,NE,US,69337,42.83760071,-103.0950012,Chadron Municipal Airport,CDR
Alliance Municipal Airport,Alliance,NE,US,69301,42.05319977,-102.8040009,Alliance Municipal Airport,AIA
Mc Cook Ben Nelson Regional Airport,McCook,NE,US,69001,40.20629883,-100.5920029,Mc Cook Ben Nelson Regional Airport,MCK
The Florida Keys Marathon Airport,Marathon,FL,US,33050,24.72610092,-81.05139923,The Florida Keys Marathon Airport,MTH
Dawson Community Airport,Glendive,MT,US,59330,47.13869858,-104.8069992,Dawson Community Airport,GDV
L M Clayton Airport,Wolf Point,MT,US,59201,48.0945015,-105.5749969,L M Clayton Airport,OLF
Yellowstone Airport,West Yellowstone,MT,US,59758,44.68840027,-111.1179962,Yellowstone Airport,WYS
San Luis Valley Regional Bergman Field,Alamosa,CO,US,81101,37.434898,-105.866997,San Luis Valley Regional Bergman Field,ALS
Canyonlands Field,Moab,UT,US,84532,38.75500107,-109.7549973,Canyonlands Field,CNY
Ely Airport Yelland Field,Ely,NV,US,89301,39.29970169,-114.8420029,Ely Airport Yelland Field,ELY
Vernal Regional Airport,Vernal,UT,US,84078,40.4408989,-109.5100021,Vernal Regional Airport,VEL
Sierra Blanca Regional Airport,Ruidoso,NM,US,88312,33.46279907,-105.5350037,Sierra Blanca Regional Airport,SRR
Show Low Regional Airport,Show Low,AZ,US,85901,34.26549912,-110.0059967,Show Low Regional Airport,SOW
McCall Municipal Airport,McCall,ID,US,83638,44.88970184,-116.1009979,McCall Municipal Airport,MYL
Lemhi County Airport,Salmon,ID,US,83467,45.12379837,-113.8809967,Lemhi County Airport,SMN
Mammoth Yosemite Airport,Mammoth Lakes,CA,US,93546,37.62409973,-118.8379974,Mammoth Yosemite Airport,MMH
Friday Harbor Airport,Friday Harbor,WA,US,98250,48.52199936,-123.0240021,Friday Harbor Airport,FRD
Orcas Island Airport,Eastsound,WA,US,98245,48.70819855,-122.9100037,Orcas Island Airport,ESD
Astoria Regional Airport,Astoria,OR,US,97146,46.15800095,-123.8789978,Astoria Regional Airport,AST
Newport Municipal Airport,Newport,OR,US,97366,44.58039856,-124.0579987,Newport Municipal Airport,ONP
Emmonak Airport,Emmonak,AK,US,99581,62.78609848,-164.4909973,Emmonak Airport,EMK
Unalakleet Airport,Unalakleet,AK,US,99684,63.88840103,-160.798996,Unalakleet Airport,UNK
Ugnu-Kuparuk Airport,Kuparuk,Alaska,US,,70.33080292,-149.5980072,Ugnu-Kuparuk Airport,UUK
Shageluk Airport,Shageluk,AK,US,99665,62.69229889,-159.5690002,Shageluk Airport,SHX
Nuiqsut Airport,Nuiqsut,AK,US,99789,70.20999908,-151.0059967,Nuiqsut Airport,NUI
Eek Airport,Eek,AK,US,99578,60.21367264,-162.0438843,Eek Airport,EEK
Kasigluk Airport,Kasigluk,AK,US,99609,60.87440109,-162.5240021,Kasigluk Airport,KUK
Kwethluk Airport,Kwethluk,AK,US,99621,60.79029846,-161.4440002,Kwethluk Airport,KWT
Kwigillingok Airport,Kwigillingok,AK,US,99622,59.876499,-163.169005,Kwigillingok Airport,KWK
Marshall Don Hunter Sr Airport,Marshall,AK,US,99585,61.86429977,-162.026001,Marshall Don Hunter Sr Airport,MLL
Russian Mission Airport,Russian Mission,AK,US,99657,61.77888489,-161.319458,Russian Mission Airport,RSH
Koliganek Airport,Koliganek,AK,US,99576,59.72660065,-157.2590027,Koliganek Airport,KGK
Manokotak Airport,Manokotak,AK,US,99628,58.99020004,-159.0500031,Manokotak Airport,KMO
Chalkyitsik Airport,Chalkyitsik,AK,US,99788,66.64499664,-143.7400055,Chalkyitsik Airport,CIK
Eagle Airport,Eagle,AK,US,99738,64.77639771,-141.151001,Eagle Airport,EAA
Hughes Airport,Hughes,AK,US,99745,66.04109955,-154.2630005,Hughes Airport,HUS
Huslia Airport,Huslia,AK,US,99746,65.69789886,-156.3509979,Huslia Airport,HSL
Nulato Airport,Nulato,AK,US,99765,64.72930145,-158.0740051,Nulato Airport,NUL
Venetie Airport,Venetie,AK,US,99781,67.00869751,-146.3659973,Venetie Airport,VEE
Beaver Airport,Beaver,AK,US,99724,66.36219788,-147.4069977,Beaver Airport,WBQ
Central Airport,Central,AK,US,99730,65.57379913,-144.7830048,Central Airport,CEM
Shungnak Airport,Shungnak,AK,US,99773,66.88809967,-157.1620026,Shungnak Airport,SHG
Inyokern Airport,Inyokern,CA,US,93527,35.65879822,-117.8300018,Inyokern Airport,IYK
Visalia Municipal Airport,Visalia,CA,US,93277,36.31869888,-119.3929977,Visalia Municipal Airport,VIS
Merced Regional Macready Field,Merced,CA,US,95341,37.28469849,-120.5139999,Merced Regional Macready Field,MCE
Phoenix Goodyear Airport,Goodyear,AZ,US,85338,33.42250061,-112.3759995,Phoenix Goodyear Airport,\N
Angoon Seaplane Base,Angoon,AK,US,99820,57.503601,-134.585007,Angoon Seaplane Base,AGN
Elfin Cove Seaplane Base,Elfin Cove,AK,US,99825,58.19520187,-136.3470001,Elfin Cove Seaplane Base,ELV
Funter Bay Seaplane Base,Funter Bay,AK,US,,58.25439835,-134.897995,Funter Bay Seaplane Base,FNR
Hoonah Airport,Hoonah,AK,US,99829,58.0961,-135.410111,Hoonah Airport,HNH
Kake Airport,Kake,AK,US,99830,56.96139908,-133.9100037,Kake Airport,AFE
Metlakatla Seaplane Base,Metakatla,AK,US,99926,55.13100052,-131.5780029,Metlakatla Seaplane Base,MTM
Hydaburg Seaplane Base,Hydaburg,AK,US,99922,55.20629883,-132.8280029,Hydaburg Seaplane Base,HYG
Egegik Airport,Egegik,AK,US,99579,58.1855011,-157.375,Egegik Airport,EGX
Perryville Airport,Perryville,AK,US,99648,55.905998,-159.162993,Perryville Airport,KPV
Pilot Point Airport,Pilot Point,AK,US,99649,57.58039856,-157.5720062,Pilot Point Airport,PIP
South Naknek Nr 2 Airport,South Naknek,AK,US,99633,58.70339966,-157.0079956,South Naknek Nr 2 Airport,WSN
Akhiok Airport,Akhiok,AK,US,99615,56.93870163,-154.1829987,Akhiok Airport,AKK
Karluk Airport,Karluk,AK,US,99615,57.56710052,-154.4499969,Karluk Airport,KYK
Larsen Bay Airport,Larsen Bay,AK,US,99624,57.53509903,-153.9779968,Larsen Bay Airport,KLN
Ambler Airport,Ambler,AK,US,99786,67.10630035,-157.8569946,Ambler Airport,ABL
Buckland Airport,Buckland,AK,US,99727,65.9815979,-161.1490021,Buckland Airport,BKC
Bob Baker Memorial Airport,Kiana,AK,US,99749,66.97599792,-160.4369965,Bob Baker Memorial Airport,IAN
Kobuk Airport,Kobuk,AK,US,99751,66.91230011,-156.8970032,Kobuk Airport,OBU
Robert (Bob) Curtis Memorial Airport,Noorvik,AK,US,99763,66.81790161,-161.0189972,Robert (Bob) Curtis Memorial Airport,ORV
Selawik Airport,Selawik,AK,US,99770,66.60009766,-159.9859924,Selawik Airport,WLK
Brevig Mission Airport,Brevig Mission,AK,US,99785,65.33129883,-166.4660034,Brevig Mission Airport,KTS
Elim Airport,Elim,AK,US,99739,64.61470032,-162.2720032,Elim Airport,ELI
Golovin Airport,Golovin,AK,US,99762,64.55049896,-163.0070038,Golovin Airport,GLV
Teller Airport,Teller,AK,US,99778,65.24040222,-166.3390045,Teller Airport,TLA
Wales Airport,Wales,AK,US,99783,65.622593,-168.095,Wales Airport,WAA
White Mountain Airport,White Mountain,AK,US,99784,64.68920136,-163.4129944,White Mountain Airport,WMO
Koyuk Alfred Adams Airport,Koyuk,AK,US,99753,64.9394989,-161.154007,Koyuk Alfred Adams Airport,KKA
St Michael Airport,St. Michael,AK,US,99659,63.49010086,-162.1100006,St Michael Airport,SMK
Shaktoolik Airport,Shaktoolik,AK,US,99771,64.37110138,-161.223999,Shaktoolik Airport,SKK
Tin City Long Range Radar Station Airport,Tin City,AK,US,99772,65.56310272,-167.9219971,Tin City Long Range Radar Station Airport,TNC
Atka Airport,Atka,AK,US,99547,52.22029877,-174.2059937,Atka Airport,AKB
Yakataga Airport,Yakataga,Alaska,US,,60.08200073,-142.4929962,Yakataga Airport,CYT
Alakanuk Airport,Alakanuk,AK,US,99554,62.68004227,-164.6599274,Alakanuk Airport,AUK
Kipnuk Airport,Kipnuk,AK,US,99614,59.93299866,-164.0310059,Kipnuk Airport,KPN
False Pass Airport,False Pass,AK,US,99583,54.84740067,-163.4100037,False Pass Airport,KFP
Nelson Lagoon Airport,Nelson Lagoon,AK,US,99571,56.00749969,-161.1600037,Nelson Lagoon Airport,NLG
Port Moller Airport,Cold Bay,AK,US,,56.00600052,-160.5610046,Port Moller Airport,PML
Klawock Airport,Klawock,AK,US,99925,55.57920074,-133.076004,Klawock Airport,KLW
Quinhagak Airport,Quinhagak,AK,US,99655,59.75510025,-161.8450012,Quinhagak Airport,KWN
Kotlik Airport,Kotlik,AK,US,99620,63.0306015,-163.5330048,Kotlik Airport,KOT
Koyukuk Airport,Koyukuk,AK,US,99754,64.87609863,-157.727005,Koyukuk Airport,KYU
Scammon Bay Airport,Scammon Bay,AK,US,99662,61.84529877,-165.5709991,Scammon Bay Airport,SCM
Nondalton Airport,Nondalton,AK,US,99640,59.98020172,-154.8390045,Nondalton Airport,NNL
Kongiganak Airport,Kongiganak,AK,US,99559,59.96080017,-162.8809967,Kongiganak Airport,KKH
Nikolai Airport,Nikolai,AK,US,99691,63.01860046,-154.3580017,Nikolai Airport,NIB
Akiak Airport,Akiak,AK,US,99552,60.9029007,-161.2310028,Akiak Airport,AKI
Wainwright Airport,Wainwright,AK,US,99782,70.63800049,-159.9949951,Wainwright Airport,AIN
Chenega Bay Airport,Chenega,AK,US,99574,60.07730103,-147.9920044,Chenega Bay Airport,NCN
Tok Junction Airport,Tok,AK,US,99780,63.32949829,-142.9539948,Tok Junction Airport,TKJ
Circle City /New/ Airport,Circle,AK,US,99733,65.830498,-144.076008,Circle City /New/ Airport,IRC
Sleetmute Airport,Sleetmute,AK,US,99668,61.70050049,-157.1660004,Sleetmute Airport,SLQ
Healy River Airport,Healy,AK,US,99743,63.86619949,-148.9689941,Healy River Airport,HKB
Klawock Seaplane Base,Klawock,AK,US,99925,55.55469894,-133.102005,Klawock Seaplane Base,AQC
Minchumina Airport,Lake Minchumina,AK,US,99757,63.88600159,-152.302002,Minchumina Airport,MHM
Manley Hot Springs Airport,Manley Hot Springs,AK,US,99756,64.99759674,-150.6439972,Manley Hot Springs Airport,MLY
Eastern WV Regional Airport/Shepherd Field,Martinsburg,WV,US,25405,39.40190125,-77.98459625,Eastern WV Regional Airport/Shepherd Field,MRB
Rock Hill - York County Airport,Rock Hill,SC,US,29732,34.9878006,-81.05719757,Rock Hill - York County Airport,RKH
Allegheny County Airport,Pittsburgh,PA,US,15122,40.35440063,-79.93019867,Allegheny County Airport,AGC
Cecil Airport,Jacksonville,FL,US,32221,30.21870041,-81.87670136,Cecil Airport,\N
Fulton County Airport Brown Field,Atlanta,GA,US,30336,33.77909851,-84.52140045,Fulton County Airport Brown Field,FTY
Ohio State University Airport,Columbus,OH,US,43017,40.07979965,-83.07299805,Ohio State University Airport,OSU
Addison Airport,Addison,TX,US,75001,32.96860123,-96.83640289,Addison Airport,ADS
Destin Executive Airport,Destin,FL,US,32541,30.40010071,-86.47149658,Destin Executive Airport,DTS
Kinston Regional Jetport At Stallings Field,Kinston,NC,US,28504,35.33140183,-77.6088028,Kinston Regional Jetport At Stallings Field,ISO
First Flight Airport,Kill Devil Hills,NC,US,27948,36.01819992,-75.6713028,First Flight Airport,FFA
Provo Municipal Airport,Provo,UT,US,84601,40.21920013,-111.7229996,Provo Municipal Airport,PVU
Steamboat Springs Bob Adams Field,Steamboat Springs,CO,US,80487,40.5163002,-106.8659973,Steamboat Springs Bob Adams Field,SBS
Delta Municipal Airport,Delta,UT,US,84624,39.38059998,-112.5080032,Delta Municipal Airport,DTA
Richfield Municipal Airport,Richfield,UT,US,84701,38.7364006,-112.098999,Richfield Municipal Airport,RIF
Carbon County Regional/Buck Davis Field,Price,UT,US,84501,39.61389923,-110.7509995,Carbon County Regional/Buck Davis Field,PUC
Los Alamos Airport,Los Alamos,NM,US,87544,35.87979889,-106.2689972,Los Alamos Airport,LAM
Lake Havasu City Airport,Lake Havasu City,AZ,US,86404,34.571098,-114.358002,Lake Havasu City Airport,HII
Winslow Lindbergh Regional Airport,Winslow,AZ,US,86047,35.02190018,-110.7229996,Winslow Lindbergh Regional Airport,INW
Douglas Municipal Airport,Douglas,AZ,US,85607,31.34259987,-109.5059967,Douglas Municipal Airport,DGL
Bartow Municipal Airport,Bartow,FL,US,33830,27.94339943,-81.78340149,Bartow Municipal Airport,BOW
Livermore Municipal Airport,Livermore,CA,US,94551,37.69340134,-121.8199997,Livermore Municipal Airport,LVK
Mariposa Yosemite Airport,Mariposa,CA,US,95338,37.51089859,-120.0400009,Mariposa Yosemite Airport,RMY
Jacqueline Cochran Regional Airport,Palm Springs,CA,US,92274,33.62670135,-116.1600037,Jacqueline Cochran Regional Airport,TRM
Santa Monica Municipal Airport,Santa Monica,CA,US,90405,34.01580048,-118.4509964,Santa Monica Municipal Airport,SMO
Bermuda Dunes Airport,Palm Springs,CA,US,92203,33.74840164,-116.2750015,Bermuda Dunes Airport,UDD
Scottsdale Airport,Scottsdale,AZ,US,85260,33.6228981,-111.9110031,Scottsdale Airport,ZSY
Olympia Regional Airport,Olympia,WA,US,98501,46.9693985,-122.9029999,Olympia Regional Airport,OLM
Yolo County Davis Woodland Winters Airport,Davis-Woodland-Winters,CA,US,95616,38.57910156,-121.8570023,Yolo County Davis Woodland Winters Airport,DWA
Garfield County Regional Airport,Rifle,CO,US,81650,39.52629852,-107.7269974,Garfield County Regional Airport,RIL
Shively Field,SARATOGA,WY,US,82331,41.44490051,-106.8239975,Shively Field,SAA
DeKalb Peachtree Airport,Atlanta,GA,US,30341,33.87559891,-84.30200195,DeKalb Peachtree Airport,PDK
Monroe County Airport,Bloomington,IN,US,47403,39.14599991,-86.61669922,Monroe County Airport,BMG
Witham Field,Stuart,FL,US,34996,27.18169975,-80.22109985,Witham Field,SUA
Morristown Municipal Airport,Morristown,NJ,US,07960,40.79940033,-74.41490173,Morristown Municipal Airport,MMU
Napa County Airport,Napa,CA,US,94558,38.2132,-122.280998,Napa County Airport,APC
Brown Field Municipal Airport,San Diego,CA,US,92154,32.57229996,-116.9800034,Brown Field Municipal Airport,SDM
Venice Municipal Airport,Venice,FL,US,34285,27.07159996,-82.44029999,Venice Municipal Airport,VNC
Palm Beach County Glades Airport,Pahokee,FL,US,33476,26.78499985,-80.69339752,Palm Beach County Glades Airport,PHK
